,empo_1,empo_2,empo_3
training_612,Free-living,Saline,Surface (saline)
training_613,Host-associated,Plant,Plant surface
training_614,Host-associated,Animal,Animal distal gut
training_615,Free-living,Non-saline,Water (non-saline)
training_616,Host-associated,Animal,Animal distal gut
training_617,Host-associated,Plant,Plant surface
training_618,Free-living,Non-saline,Water (non-saline)
training_619,Host-associated,Animal,Animal distal gut
training_620,Host-associated,Animal,Animal secretion
training_621,Free-living,Non-saline,Water (non-saline)
training_622,Host-associated,Animal,Animal distal gut
training_623,Host-associated,Animal,Animal distal gut
training_624,Host-associated,Plant,Plant rhizosphere
training_625,Host-associated,Animal,Animal distal gut
training_626,Free-living,Non-saline,Soil (non-saline)
training_627,Host-associated,Plant,Plant rhizosphere
training_628,Free-living,Non-saline,Soil (non-saline)
training_629,Free-living,Non-saline,Surface (non-saline)
training_630,Host-associated,Animal,Animal distal gut
training_631,Host-associated,Animal,Animal surface
training_632,Free-living,Non-saline,Soil (non-saline)
training_633,Free-living,Non-saline,Sediment (non-saline)
training_634,Free-living,Saline,Sediment (saline)
training_635,Host-associated,Plant,Plant surface
training_636,Free-living,Non-saline,Water (non-saline)
training_637,Free-living,Non-saline,Sediment (non-saline)
training_638,Free-living,Non-saline,Water (non-saline)
training_639,Free-living,Non-saline,Soil (non-saline)
training_640,Free-living,Non-saline,Water (non-saline)
training_641,Free-living,Non-saline,Soil (non-saline)
training_642,Free-living,Non-saline,Water (non-saline)
training_643,Host-associated,Animal,Animal distal gut
training_644,Free-living,Non-saline,Surface (non-saline)
training_645,Free-living,Non-saline,Water (non-saline)
training_646,Free-living,Non-saline,Water (non-saline)
training_647,Host-associated,Animal,Animal distal gut
training_648,Free-living,Non-saline,Water (non-saline)
training_649,Free-living,Non-saline,Water (non-saline)
training_650,Free-living,Saline,Water (saline)
training_651,Host-associated,Animal,Animal surface
training_652,Host-associated,Plant,Plant surface
training_653,Host-associated,Animal,Animal secretion
training_654,Free-living,Non-saline,Water (non-saline)
training_655,Host-associated,Plant,Plant surface
training_656,Free-living,Non-saline,Surface (non-saline)
training_657,Host-associated,Plant,Plant surface
training_658,Host-associated,Animal,Animal secretion
training_659,Host-associated,Animal,Animal surface
training_660,Free-living,Non-saline,Soil (non-saline)
training_661,Free-living,Non-saline,Water (non-saline)
training_662,Host-associated,Animal,Animal distal gut
training_663,Host-associated,Animal,Animal surface
training_664,Host-associated,Animal,Animal surface
training_665,Free-living,Non-saline,Soil (non-saline)
training_666,Free-living,Non-saline,Surface (non-saline)
training_667,Host-associated,Animal,Animal distal gut
training_668,Free-living,Non-saline,Sediment (non-saline)
training_669,Host-associated,Animal,Animal surface
training_670,Free-living,Non-saline,Soil (non-saline)
training_671,Host-associated,Animal,Animal distal gut
training_672,Free-living,Non-saline,Water (non-saline)
training_673,Host-associated,Animal,Animal surface
training_674,Free-living,Non-saline,Water (non-saline)
training_675,Host-associated,Animal,Animal surface
training_676,Host-associated,Animal,Animal surface
training_677,Free-living,Saline,Sediment (saline)
training_678,Free-living,Non-saline,Soil (non-saline)
training_679,Free-living,Saline,Water (saline)
training_680,Host-associated,Animal,Animal surface
training_681,Free-living,Non-saline,Soil (non-saline)
training_682,Free-living,Non-saline,Soil (non-saline)
training_683,Host-associated,Animal,Animal surface
training_684,Host-associated,Animal,Animal surface
training_685,Free-living,Non-saline,Water (non-saline)
training_686,Free-living,Non-saline,Soil (non-saline)
training_687,Free-living,Non-saline,Water (non-saline)
training_688,Free-living,Non-saline,Water (non-saline)
training_689,Host-associated,Animal,Animal distal gut
training_690,Free-living,Non-saline,Surface (non-saline)
training_691,Free-living,Saline,Water (saline)
training_692,Free-living,Saline,Water (saline)
training_693,Free-living,Saline,Sediment (saline)
training_694,Host-associated,Plant,Plant surface
training_695,Host-associated,Plant,Plant surface
training_696,Free-living,Non-saline,Water (non-saline)
training_697,Free-living,Non-saline,Surface (non-saline)
training_698,Host-associated,Animal,Animal distal gut
training_699,Host-associated,Plant,Plant surface
training_700,Host-associated,Animal,Animal surface
training_701,Host-associated,Animal,Animal distal gut
training_702,Free-living,Non-saline,Water (non-saline)
training_703,Free-living,Non-saline,Sediment (non-saline)
training_704,Host-associated,Animal,Animal distal gut
training_705,Host-associated,Plant,Plant rhizosphere
training_706,Host-associated,Animal,Animal distal gut
training_707,Host-associated,Animal,Animal distal gut
training_708,Free-living,Non-saline,Soil (non-saline)
training_709,Free-living,Non-saline,Water (non-saline)
training_710,Host-associated,Animal,Animal surface
training_711,Free-living,Non-saline,Water (non-saline)
training_712,Free-living,Non-saline,Water (non-saline)
training_713,Free-living,Non-saline,Water (non-saline)
training_714,Free-living,Non-saline,Soil (non-saline)
training_715,Free-living,Non-saline,Water (non-saline)
training_716,Free-living,Non-saline,Water (non-saline)
training_717,Host-associated,Animal,Animal surface
training_718,Free-living,Non-saline,Water (non-saline)
training_719,Free-living,Non-saline,Surface (non-saline)
training_720,Free-living,Non-saline,Water (non-saline)
training_721,Free-living,Saline,Sediment (saline)
training_722,Free-living,Non-saline,Soil (non-saline)
training_723,Free-living,Saline,Sediment (saline)
training_724,Free-living,Non-saline,Water (non-saline)
training_725,Host-associated,Animal,Animal surface
training_726,Host-associated,Animal,Animal surface
training_727,Host-associated,Plant,Plant surface
training_728,Host-associated,Animal,Animal distal gut
training_729,Host-associated,Plant,Plant surface
training_730,Free-living,Non-saline,Sediment (non-saline)
training_731,Free-living,Non-saline,Soil (non-saline)
training_732,Host-associated,Plant,Plant surface
training_733,Host-associated,Animal,Animal surface
training_734,Free-living,Non-saline,Water (non-saline)
training_735,Free-living,Non-saline,Soil (non-saline)
training_736,Free-living,Non-saline,Water (non-saline)
training_737,Free-living,Non-saline,Water (non-saline)
training_738,Host-associated,Animal,Animal surface
training_739,Free-living,Non-saline,Soil (non-saline)
training_740,Host-associated,Animal,Animal surface
training_741,Host-associated,Animal,Animal corpus
training_742,Free-living,Non-saline,Surface (non-saline)
training_743,Free-living,Non-saline,Water (non-saline)
training_744,Free-living,Non-saline,Water (non-saline)
training_745,Free-living,Non-saline,Soil (non-saline)
training_746,Host-associated,Plant,Plant rhizosphere
training_747,Free-living,Non-saline,Soil (non-saline)
training_748,Free-living,Non-saline,Soil (non-saline)
training_749,Host-associated,Animal,Animal surface
training_750,Host-associated,Animal,Animal surface
training_751,Host-associated,Animal,Animal secretion
training_752,Free-living,Non-saline,Water (non-saline)
training_753,Host-associated,Animal,Animal distal gut
training_754,Free-living,Non-saline,Soil (non-saline)
training_755,Free-living,Non-saline,Soil (non-saline)
training_756,Free-living,Non-saline,Water (non-saline)
training_757,Host-associated,Animal,Animal secretion
training_758,Free-living,Non-saline,Soil (non-saline)
training_759,Free-living,Non-saline,Soil (non-saline)
training_760,Free-living,Saline,Sediment (saline)
training_761,Host-associated,Plant,Plant surface
training_762,Host-associated,Animal,Animal surface
training_763,Host-associated,Animal,Animal surface
training_764,Free-living,Non-saline,Soil (non-saline)
training_765,Host-associated,Animal,Animal surface
training_766,Host-associated,Animal,Animal surface
training_767,Host-associated,Plant,Plant rhizosphere
training_768,Free-living,Non-saline,Soil (non-saline)
training_769,Free-living,Non-saline,Soil (non-saline)
training_770,Host-associated,Animal,Animal secretion
training_771,Host-associated,Animal,Animal corpus
training_772,Free-living,Non-saline,Soil (non-saline)
training_773,Free-living,Non-saline,Water (non-saline)
training_774,Free-living,Non-saline,Water (non-saline)
training_775,Host-associated,Animal,Animal surface
training_776,Free-living,Non-saline,Soil (non-saline)
training_777,Host-associated,Animal,Animal secretion
training_778,Host-associated,Animal,Animal distal gut
training_779,Host-associated,Plant,Plant surface
training_780,Free-living,Non-saline,Surface (non-saline)
training_781,Free-living,Non-saline,Soil (non-saline)
training_782,Free-living,Non-saline,Surface (non-saline)
training_783,Free-living,Non-saline,Water (non-saline)
training_784,Free-living,Non-saline,Soil (non-saline)
training_785,Free-living,Non-saline,Soil (non-saline)
training_786,Free-living,Non-saline,Water (non-saline)
training_787,Free-living,Non-saline,Water (non-saline)
training_788,Free-living,Non-saline,Soil (non-saline)
training_789,Host-associated,Plant,Plant surface
training_790,Free-living,Non-saline,Water (non-saline)
training_791,Host-associated,Animal,Animal distal gut
training_792,Host-associated,Plant,Plant surface
training_793,Host-associated,Animal,Animal distal gut
training_794,Free-living,Non-saline,Soil (non-saline)
training_795,Host-associated,Animal,Animal secretion
training_796,Host-associated,Animal,Animal proximal gut
training_797,Host-associated,Plant,Plant corpus
training_798,Host-associated,Animal,Animal distal gut
training_799,Host-associated,Animal,Animal surface
training_800,Host-associated,Plant,Plant surface
training_801,Free-living,Non-saline,Soil (non-saline)
training_802,Free-living,Non-saline,Soil (non-saline)
training_803,Host-associated,Animal,Animal corpus
training_804,Host-associated,Animal,Animal surface
training_805,Free-living,Non-saline,Surface (non-saline)
training_806,Host-associated,Plant,Plant surface
training_807,Free-living,Non-saline,Soil (non-saline)
training_808,Host-associated,Plant,Plant rhizosphere
training_809,Host-associated,Animal,Animal surface
training_810,Host-associated,Plant,Plant surface
training_811,Free-living,Non-saline,Water (non-saline)
training_812,Free-living,Non-saline,Sediment (non-saline)
training_813,Free-living,Non-saline,Surface (non-saline)
training_814,Free-living,Saline,Sediment (saline)
training_815,Free-living,Non-saline,Water (non-saline)
training_816,Free-living,Non-saline,Soil (non-saline)
training_817,Host-associated,Animal,Animal distal gut
training_818,Host-associated,Plant,Plant surface
training_819,Host-associated,Animal,Animal distal gut
training_820,Free-living,Non-saline,Water (non-saline)
training_821,Host-associated,Plant,Plant surface
training_822,Host-associated,Animal,Animal surface
training_823,Free-living,Non-saline,Water (non-saline)
training_824,Host-associated,Animal,Animal surface
training_825,Host-associated,Animal,Animal distal gut
training_826,Free-living,Non-saline,Water (non-saline)
training_827,Host-associated,Animal,Animal secretion
training_828,Free-living,Non-saline,Water (non-saline)
training_829,Host-associated,Animal,Animal surface
training_830,Host-associated,Animal,Animal distal gut
training_831,Host-associated,Animal,Animal distal gut
training_832,Host-associated,Animal,Animal surface
training_833,Free-living,Non-saline,Soil (non-saline)
training_834,Free-living,Saline,Sediment (saline)
training_835,Host-associated,Animal,Animal distal gut
training_836,Free-living,Non-saline,Soil (non-saline)
training_837,Free-living,Saline,Sediment (saline)
training_838,Host-associated,Plant,Plant rhizosphere
training_839,Host-associated,Animal,Animal distal gut
training_840,Host-associated,Animal,Animal corpus
training_841,Free-living,Non-saline,Water (non-saline)
training_842,Free-living,Saline,Water (saline)
training_843,Host-associated,Plant,Plant rhizosphere
training_844,Host-associated,Animal,Animal distal gut
training_845,Free-living,Non-saline,Water (non-saline)
training_846,Host-associated,Animal,Animal surface
